#Software: Microsoft Internet Information Services 10.0
#Version: 1.0
#Date: 2024-01-30 00:00:23
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2024-01-30 00:00:11 172.31.36.65 GET /api/.git/config - 443 - 35.181.57.249 Mozilla/5.0+(Linux;+Android+12;+SM-G991B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/100.0.4896.127+Mobile+Safari/537.36+EdgA/100.0.1185.50 - 404 0 2 91
2024-01-30 00:20:57 172.31.36.65 GET /actuator/health - 80 - 192.241.219.44 Mozilla/5.0+zgrab/0.x - 404 0 2 388
2024-01-30 00:29:55 172.31.36.65 GET / - 80 - 205.210.31.206 Expanse,+a+Palo+Alto+Networks+company,+searches+across+the+global+IPv4+space+multiple+times+per+day+to+identify+customers&#39;+presences+on+the+Internet.+If+you+would+like+to+be+excluded+from+our+scans,+please+send+IP+addresses/domains+to:+scaninfo@paloaltonetworks.com - 200 0 0 148
2024-01-30 00:32:36 172.31.36.65 GET /console/ - 80 - 83.97.73.245 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/78.0.3904.108+Safari/537.36 - 404 0 2 161
2024-01-30 00:38:07 172.31.36.65 GET /_ignition/execute-solution - 80 - 83.97.73.245 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/78.0.3904.108+Safari/537.36 - 404 0 2 984
2024-01-30 00:50:08 172.31.36.65 GET / - 80 - 83.97.73.245 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/78.0.3904.108+Safari/537.36 - 200 0 0 149
2024-01-30 00:54:25 172.31.36.65 GET /.env - 80 - 135.125.244.48 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/81.0.4044.129+Safari/537.36 - 404 0 2 102
2024-01-30 00:54:25 172.31.36.65 POST / - 80 - 135.125.244.48 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/81.0.4044.129+Safari/537.36 - 405 0 1 103
2024-01-30 01:12:57 172.31.36.65 GET / - 80 - 83.97.73.245 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/78.0.3904.108+Safari/537.36 - 200 0 0 984
#Software: Microsoft Internet Information Services 10.0
#Version: 1.0
#Date: 2024-01-30 01:38:22
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2024-01-30 01:38:19 172.31.36.65 GET /actuator/gateway/routes - 80 - 83.97.73.245 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/78.0.3904.108+Safari/537.36 - 404 0 2 1662
#Software: Microsoft Internet Information Services 10.0
#Version: 1.0
#Date: 2024-01-30 02:08:17
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2024-01-30 02:08:14 172.31.36.65 GET / - 80 - 205.210.31.146 Expanse,+a+Palo+Alto+Networks+company,+searches+across+the+global+IPv4+space+multiple+times+per+day+to+identify+customers&#39;+presences+on+the+Internet.+If+you+would+like+to+be+excluded+from+our+scans,+please+send+IP+addresses/domains+to:+scaninfo@paloaltonetworks.com - 200 0 0 1220
2024-01-30 02:14:40 172.31.36.65 GET /geoserver - 80 - 83.97.73.245 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/78.0.3904.108+Safari/537.36 - 404 0 2 976
#Software: Microsoft Internet Information Services 10.0
#Version: 1.0
#Date: 2024-01-30 02:57:34
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2024-01-30 02:57:31 172.31.36.65 GET / - 80 - 35.203.210.220 Expanse,+a+Palo+Alto+Networks+company,+searches+across+the+global+IPv4+space+multiple+times+per+day+to+identify+customers&#39;+presences+on+the+Internet.+If+you+would+like+to+be+excluded+from+our+scans,+please+send+IP+addresses/domains+to:+scaninfo@paloaltonetworks.com - 200 0 0 1176
2024-01-30 03:16:06 172.31.36.65 GET /.env - 80 - 135.125.244.48 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/81.0.4044.129+Safari/537.36 - 404 0 2 103
